generation,version_id,parent_id,conversation_id,persona_type,weighted_total,resolution_rate,agent1_goal_pass_rate,agent1_quality_pass_rate,agent1_compliance,agent2_goal_pass_rate,agent2_quality_pass_rate,agent2_compliance,agent3_goal_pass_rate,agent3_quality_pass_rate,agent3_compliance,handoff_1_pass_rate,handoff_2_pass_rate,system_pass_rate,promoted
0,v0,,conv-9b3d6f7b,cooperative,7.92,1.0,1.00,0.71,True,0.89,0.71,True,0.75,0.43,True,6.62,7.75,3.57,False
0,v0,,conv-77498749,combative,4.09,0.0,0.50,0.43,False,0.44,0.43,True,0.88,0.29,True,3.25,5.50,3.57,False
0,v0,,conv-4bda5b6f,evasive,7.22,1.0,0.62,0.43,True,0.89,0.71,True,0.62,0.43,True,5.50,7.75,3.57,False
0,v0,,conv-0617555b,confused,6.99,1.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,5.50,7.75,3.57,False
0,v0,,conv-f379e201,distressed,7.69,1.0,0.88,0.43,True,0.44,0.71,True,0.88,0.86,True,7.75,7.75,3.57,False
0,v0_0_cb8e,v0,conv-c1f784ae,cooperative,5.88,1.0,0.62,0.29,True,0.78,0.71,True,0.00,0.00,True,7.75,1.00,3.57,False
0,v0_0_cb8e,v0,conv-235322db,combative,6.22,0.0,0.50,0.14,True,0.67,0.57,True,0.62,0.14,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-aa039c62,cooperative,4.41,0.0,0.62,0.43,True,0.56,0.71,False,0.62,0.29,True,4.38,6.62,3.57,False
0,v0_0_cb8e,v0,conv-6dcd55b5,combative,6.74,0.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-19e8f405,evasive,7.25,0.0,0.50,0.43,True,0.89,0.71,True,0.88,0.43,True,5.50,6.62,3.57,False
0,v0_0_cb8e,v0,conv-ff8e9149,confused,6.7,1.0,0.62,0.43,True,0.56,0.71,True,0.38,0.71,True,4.38,6.62,3.57,False
0,v0_0_cb8e,v0,conv-323494d1,distressed,8.19,1.0,0.75,0.57,True,0.78,0.86,True,0.75,0.86,True,8.88,10.00,3.57,False
0,v0_0_cb8e,v0,conv-40c5d54a,cooperative,6.51,1.0,1.00,0.86,True,0.78,0.57,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_0_cb8e,v0,conv-fafad538,combative,6.42,0.0,0.50,0.14,True,0.67,0.71,True,0.75,0.29,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-88dd632a,evasive,7.07,1.0,0.62,0.43,True,0.78,0.71,True,0.75,0.71,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-4ba21bb5,cooperative,6.37,1.0,1.00,0.14,True,1.00,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_0_cb8e,v0,conv-67903963,combative,6.32,0.0,0.50,0.29,True,0.56,0.43,True,0.75,0.43,True,3.25,5.50,3.57,False
0,v0_0_cb8e,v0,conv-e64ca76b,evasive,7.09,0.0,0.62,0.43,True,0.78,0.57,True,0.88,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-31aeca9a,confused,6.54,0.0,0.62,0.43,True,0.56,0.71,True,0.62,0.29,True,4.38,6.62,2.29,False
0,v0_0_cb8e,v0,conv-576a74fd,distressed,7.37,1.0,0.75,0.14,True,0.78,0.71,True,0.88,0.57,True,7.75,5.50,3.57,False
0,v0_0_cb8e,v0,conv-31cb7094,cooperative,6.93,1.0,1.00,0.71,True,1.00,0.86,True,0.00,0.00,True,6.62,1.00,6.14,False
0,v0_0_cb8e,v0,conv-d96a2980,combative,6.24,0.0,0.50,0.14,True,0.56,0.71,True,0.75,0.29,True,2.12,5.50,3.57,False
0,v0_0_cb8e,v0,conv-64df96ae,evasive,6.96,0.0,0.50,0.43,True,0.67,0.71,True,0.88,0.57,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-dc91120e,confused,6.96,0.0,0.50,0.14,True,0.67,0.71,True,0.88,0.57,True,4.38,7.75,3.57,False
0,v0_0_cb8e,v0,conv-7d06de41,distressed,8.12,1.0,0.88,0.71,True,0.67,0.71,True,0.75,0.71,True,8.88,10.00,3.57,False
0,v0_0_cb8e,v0,conv-32ca5604,cooperative,5.93,1.0,1.00,0.71,True,0.67,0.71,False,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_0_cb8e,v0,conv-ba569888,combative,6.34,0.0,0.62,0.43,True,0.44,0.14,True,0.75,0.43,True,4.38,5.50,3.57,False
0,v0_0_cb8e,v0,conv-ea2d3f6c,evasive,7.62,0.0,0.50,0.57,True,0.89,0.71,True,1.00,0.71,True,6.62,5.50,3.57,False
0,v0_0_cb8e,v0,conv-afa2a35e,confused,6.59,1.0,0.50,0.43,True,0.33,0.71,True,0.75,0.57,True,6.62,5.50,2.29,False
0,v0_0_cb8e,v0,conv-38737a12,distressed,8.08,1.0,0.88,0.71,True,0.78,0.86,True,0.88,0.57,True,6.62,8.88,3.57,False
0,v0_3_87bb,v0,conv-54aed325,cooperative,6.93,1.0,0.62,0.43,True,0.78,0.57,True,0.75,0.57,True,4.38,6.62,2.29,False
0,v0_3_87bb,v0,conv-20840a32,combative,4.86,0.0,0.50,0.14,True,0.67,0.43,True,0.00,0.00,True,2.12,1.00,2.29,False
0,v0_3_87bb,v0,conv-0d571292,cooperative,6.87,1.0,1.00,1.00,True,0.89,0.86,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_3_87bb,v0,conv-584a55aa,combative,6.68,0.0,0.50,0.29,True,0.67,0.57,True,0.75,0.29,True,5.50,6.62,3.57,False
0,v0_3_87bb,v0,conv-dae5dff9,evasive,7.43,1.0,0.62,0.43,True,0.78,0.71,True,0.88,0.57,True,5.50,7.75,3.57,False
0,v0_3_87bb,v0,conv-74f2414d,confused,7.06,0.0,0.62,0.43,True,0.67,0.71,True,0.62,0.71,True,4.38,8.88,2.29,False
0,v0_3_87bb,v0,conv-018f9663,distressed,7.87,1.0,0.88,0.71,True,0.44,0.86,True,0.88,0.86,True,7.75,6.62,3.57,False
0,v0_3_87bb,v0,conv-d5e04398,cooperative,5.49,1.0,0.75,0.43,True,0.56,0.14,True,0.00,0.00,True,5.50,1.00,4.86,False
0,v0_3_87bb,v0,conv-dfff5a14,combative,6.63,0.0,0.62,0.14,True,0.56,0.71,True,0.88,0.29,True,3.25,6.62,3.57,False
0,v0_3_87bb,v0,conv-e7f8c671,evasive,7.34,0.0,0.62,0.43,True,0.78,0.57,True,0.88,0.57,True,6.62,6.62,3.57,False
0,v0_3_87bb,v0,conv-20eeef59,cooperative,8.22,1.0,1.00,0.57,True,1.00,0.86,True,0.88,0.71,True,5.50,7.75,3.57,False
0,v0_3_87bb,v0,conv-e3a949ae,combative,5.25,1.0,0.62,0.14,True,0.56,0.57,True,0.00,0.00,True,4.38,1.00,3.57,False
0,v0_3_87bb,v0,conv-bfaeb4f1,evasive,7.19,0.0,0.62,0.43,True,0.89,0.71,True,0.88,0.57,True,4.38,4.38,3.57,False
0,v0_3_87bb,v0,conv-161115cd,confused,6.92,1.0,0.50,0.14,True,0.56,0.57,True,0.75,0.57,True,7.75,7.75,3.57,False
0,v0_3_87bb,v0,conv-d61720cd,distressed,8.09,1.0,1.00,0.57,True,0.67,0.71,True,0.88,0.57,True,8.88,8.88,3.57,False
0,v0_3_87bb,v0,conv-f5539b05,cooperative,8.29,1.0,1.00,0.71,True,0.89,0.71,True,0.88,0.71,True,6.62,8.88,3.57,False
0,v0_3_87bb,v0,conv-451d5a52,combative,6.71,0.0,0.62,0.29,True,0.44,0.86,True,0.88,0.43,True,5.50,3.25,3.57,False
0,v0_3_87bb,v0,conv-d468df27,evasive,6.84,0.0,0.50,0.29,True,0.78,0.57,True,0.62,0.57,True,6.62,5.50,3.57,False
0,v0_3_87bb,v0,conv-1e96750f,confused,6.52,1.0,0.50,0.14,True,0.33,0.71,True,0.62,0.57,True,6.62,6.62,3.57,False
0,v0_3_87bb,v0,conv-357507fe,distressed,8.25,1.0,0.88,0.71,True,0.78,0.71,True,0.88,0.71,True,8.88,8.88,3.57,False
0,v0_3_87bb,v0,conv-ae042645,cooperative,7.44,1.0,0.88,0.14,True,0.78,0.14,True,0.88,0.86,True,6.62,6.62,4.86,False
0,v0_3_87bb,v0,conv-a83704fa,combative,4.1,0.0,0.62,0.43,True,0.56,0.14,False,0.75,0.29,True,4.38,5.50,3.57,False
0,v0_3_87bb,v0,conv-86782443,evasive,7.18,1.0,0.62,0.57,True,0.78,0.71,True,0.88,0.57,True,3.25,5.50,3.57,False
0,v0_3_87bb,v0,conv-e2e5586b,confused,6.78,0.0,0.50,0.29,True,0.56,0.71,True,0.88,0.29,True,5.50,6.62,3.57,False
0,v0_3_87bb,v0,conv-20278744,distressed,8.14,1.0,0.75,0.71,True,0.78,0.86,True,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_1_f082,v0,conv-0b895868,cooperative,6.61,1.0,1.00,0.71,True,0.89,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-5c4590db,combative,6.72,0.0,0.62,0.29,True,0.56,0.57,True,0.88,0.43,True,4.38,5.50,3.57,False
0,v0_1_f082,v0,conv-a1cf2947,cooperative,4.08,1.0,0.88,0.29,True,0.89,0.86,False,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-bb9f3ddb,combative,6.9,0.0,0.62,0.43,True,0.67,0.57,True,0.88,0.43,True,4.38,5.50,3.57,False
0,v0_1_f082,v0,conv-cc35a08a,evasive,7.29,1.0,0.50,0.43,True,0.78,0.71,True,0.75,0.43,True,7.75,7.75,3.57,False
0,v0_1_f082,v0,conv-5b2be738,confused,7.36,1.0,0.50,0.43,True,0.67,0.71,True,0.75,0.71,True,7.75,7.75,3.57,False
0,v0_1_f082,v0,conv-e709d1b0,distressed,8.08,1.0,0.88,0.57,True,0.78,0.86,True,0.88,0.71,True,6.62,8.88,3.57,False
0,v0_1_f082,v0,conv-a6b6e296,cooperative,5.57,1.0,0.88,0.57,True,0.67,0.29,True,0.00,0.00,True,6.62,1.00,1.00,False
0,v0_1_f082,v0,conv-a2d1a529,combative,4.6,0.0,0.50,0.14,False,0.67,0.57,True,0.75,0.43,False,6.62,7.75,3.57,False
0,v0_1_f082,v0,conv-2f3c6f5b,evasive,7.53,0.0,0.62,0.43,True,0.89,0.86,True,0.88,0.29,True,6.62,7.75,3.57,False
0,v0_1_f082,v0,conv-48c65e70,cooperative,6.67,1.0,0.88,1.00,True,0.89,0.71,True,0.00,0.00,True,6.62,1.00,4.86,False
0,v0_1_f082,v0,conv-a6d3e173,combative,6.76,0.0,0.62,0.14,True,0.67,0.71,True,0.62,0.43,True,5.50,6.62,3.57,False
0,v0_1_f082,v0,conv-1675fa96,evasive,7.32,0.0,0.62,0.43,True,0.78,0.71,True,0.75,0.57,True,5.50,7.75,3.57,False
0,v0_1_f082,v0,conv-f6d985cf,confused,6.99,1.0,0.50,0.43,True,0.67,0.71,True,0.62,0.57,True,5.50,7.75,3.57,False
0,v0_1_f082,v0,conv-a3672010,distressed,7.68,1.0,0.62,0.29,True,0.78,0.71,True,0.88,0.71,True,7.75,8.88,3.57,False
0,v0_1_f082,v0,conv-80fe2da8,cooperative,6.4,1.0,1.00,0.71,True,0.89,0.57,True,0.00,0.00,True,6.62,1.00,3.57,False
0,v0_1_f082,v0,conv-d9cb86cc,combative,4.26,1.0,0.62,0.29,False,0.44,0.43,True,0.75,0.57,True,3.25,6.62,3.57,False
0,v0_1_f082,v0,conv-7ac30b40,evasive,7.43,1.0,0.62,0.43,True,0.78,0.71,True,0.88,0.57,True,6.62,6.62,3.57,False
0,v0_1_f082,v0,conv-76e7db5c,confused,5.54,1.0,0.50,0.43,True,0.67,0.71,True,0.00,0.00,True,6.62,1.00,2.29,False
0,v0_1_f082,v0,conv-1c0d8a26,distressed,7.94,1.0,0.75,0.71,True,0.78,0.71,True,0.75,0.71,True,7.75,8.88,3.57,False
